,FRP,MOp,MOs,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSs,GU,VISC,AUDd,AUDp,AUDv,VISal,VISam,VISl,VISp,VISpl,VISpm,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,TEa,PERI,ECT,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,ENTl,ENTm,PAR,POST,PRE,SUBd,SUBv,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,AAA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,VAL,VM,VPL,VPM,VPMpc,SPFm,SPFp,SPA,PP,MGd,MGv,MGm,LGd,LP,PO,POL,AV,AMd,AMv,AD,LD,IMD,MD,SMT,PVT,PT,RE,RH,CM,CL,PF,RT,LGv,MH,LH,PVH,ARH,DMH,MEPO,MPO,PVp,PVpo,SBPV,AHN,MM,SUM,MPN,PMd,VMH,PH,LHA,LPO,RCH,STN,TU,SCs,ICc,ICd,ICe,SNr,VTA,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,CUN,RN,SNc,PPN,IPN,CLI,DR,NLL,PSV,PB,SOC,PCG,PG,PRNc,SUT,TRN,V,CS,NI,PRNr,DCO,VCO,NTS,SPVC,SPVI,SPVO,VII,AMB,GRN,IO,IRN,LRN,MARN,MDRNd,MDRNv,PARN,PGRNd,PGRNl,PRP,LAV,MV,SPIV,SUV,XII,RM,CENT,CUL,PYR,NOD,SIM,AN,PRM,PFL,FL,FN,IP,DN
FRP,2175.0,3416.412592,2790.161286,5259.574603,6144.408027,4697.672296,4662.684313,4913.374604,5891.784534,6498.894137,5185.436337,6529.643941,7702.150674,7902.926673,7777.290659,7877.856625,7136.569554,8681.877677,8067.992315,8770.725455,8264.759525,2909.467305,3375.740659,1765.290344,2304.614935,2956.137683,1756.060933,2433.747111,4214.039036,6609.746591,4634.180079,7395.141986,6801.562321,6642.194667,6933.703916,8584.979616,8253.711286,8788.380112,3139.765119,2464.49792,3288.046533,2832.401808,2483.94847,6451.404886,6432.340165,6820.648796,7713.38123,7759.228377,8500.624977,7390.57677,6374.215638,7157.207905,7123.289268,9057.524496,8938.190533,8398.623399,7920.937445,8137.029556,7071.774883,8511.793289,5151.334778,5799.568949,7210.23578,7257.323887,7251.422274,7040.640951,7453.10338,4721.096271,4240.651483,5634.93567,5296.343078,3500.892743,3141.357191,3872.741277,3848.863469,6036.451772,6435.54582,6726.115149,6664.739305,5391.718186,5826.341047,5172.583977,5656.41229,3507.224686,4639.57164,3707.677845,4538.859989,5243.329095,5510.954999,5861.633731,5812.540322,5857.953994,5785.002161,6694.867437,5691.111491,7326.748938,7075.883337,7212.142539,7013.602854,6490.377493,5962.539308,5838.503661,6855.836929,4510.127493,4582.916648,4801.106643,4361.550756,5220.751862,5135.720495,4945.894762,5189.231639,4291.488669,4175.374235,4902.932796,4975.753712,5016.535159,5256.721887,5689.573798,5389.341333,6809.735678,4860.16975,5178.621921,4822.149417,6400.537087,5970.605078,4269.806787,4900.063775,6636.73489,4800.585902,5367.378317,5423.156369,6874.681811,6569.484379,5052.041666,6522.365368,6149.237758,6165.681228,5922.942681,4921.445418,5984.45904,6410.148204,6408.441698,7363.168476,8705.386264,8720.880116,8379.066177,7355.822524,6788.271135,7648.774412,7090.971372,7153.583018,7362.913825,6268.622257,5925.896557,6523.946275,6016.487763,8372.686248,7021.084318,7202.343369,8169.072775,7174.172426,7275.472493,7723.098471,8343.410574,9239.757843,8661.589057,9105.595807,8879.787441,7903.71748,8885.170229,8858.364691,8086.446995,9012.872738,7941.859039,8811.072579,8200.342981,10064.79011,9829.674461,10582.70996,11617.06719,10803.00884,10108.69057,9916.306016,10952.79645,10244.69375,11039.95584,10554.29415,11501.03256,10135.9817,11353.57873,11385.6269,10246.06632,9852.474309,10835.3011,9748.781975,9618.796702,9633.405421,10134.50171,9412.060083,10856.73754,9407.045232,9055.833755,9796.364121,10799.45022,10107.11383,9626.298614,10730.97153,11091.21274,10443.92766,9536.377719,9896.369284,9853.36237,10079.71354
MOp,3416.412592,3075.0,2465.512117,5260.28754,5465.802777,3618.096875,4665.900235,4305.664873,4641.457207,6198.840617,5465.688429,6370.930073,6682.86054,7031.891637,7079.63629,6608.091631,5445.468299,7336.467133,6519.106534,7259.519612,6512.488004,1849.662131,2066.549056,2246.664194,2703.007584,3788.964238,2759.302448,3371.665019,4825.518107,6509.704294,5163.876935,5571.074851,4948.232007,4770.613168,5566.978534,7649.223817,7554.634339,7792.343999,5007.556789,3962.79573,4385.629943,3599.13184,3023.863423,6504.373529,6325.049407,6739.34344,7162.838125,7433.412742,7894.974667,6114.991823,5149.332481,6118.874488,5875.904186,8196.4169,7749.435463,7114.817285,6327.618035,6742.866601,5510.331206,7458.677832,5285.711873,5942.958018,6892.477784,6718.537787,6776.106921,6658.500207,6791.814927,4430.998759,4650.604799,5656.522783,5882.070214,2628.450114,3060.330864,3455.70181,2879.01893,5957.348403,6043.074549,6438.992545,6198.286053,4967.079122,5296.343078,5206.906471,5766.389685,3342.99641,4923.096079,2744.653894,4233.645002,4334.599174,4629.322305,5026.803159,4846.45489,4765.828889,4684.682487,5554.840232,4367.207346,6187.386363,5786.676507,6019.239985,5800.26939,5300.58959,4623.107721,4627.431793,5567.876615,3609.535981,3749.916666,4051.311516,3302.74507,4051.542916,3778.640629,3745.080106,4279.967874,3117.791686,3395.769427,4158.87605,3986.618241,3951.977353,4006.635122,4371.641568,4707.042596,5822.692676,3310.777854,3729.695028,4308.784631,5896.450203,5229.304447,4160.378589,4882.81425,5896.821178,4595.85411,4969.02908,5066.74205,5925.158226,5601.394916,4927.664254,5702.082953,5638.317568,5150.303389,5373.546315,4894.70377,5711.93925,5633.271696,5983.884608,5501.363467,6871.135277,6758.050754,6682.252614,6296.08013,5685.233065,6337.980751,5670.813434,5434.38129,5653.649264,4860.105452,4250.735231,4987.296362,4534.382538,6769.647332,5686.662026,6096.41288,6752.129294,6001.24987,5857.153746,6050.929681,7060.718802,8019.546434,7165.062805,8036.05158,7282.556213,6903.079023,7559.348517,7422.979523,6908.011653,7687.855683,6578.231145,7285.344879,6931.224639,8697.054099,8652.239594,9023.926529,10158.43246,9431.794633,8814.653992,8709.94403,9645.659646,8855.859642,9768.732006,9154.26813,10196.13898,8886.119794,9852.220562,9929.438554,8853.848033,8353.367584,9611.061336,8190.161781,8134.263949,8077.360336,8609.406193,7900.356005,9290.653906,8103.0087,7272.250339,7981.227976,8988.916787,8442.082089,7982.676556,9146.857384,9533.559147,9313.263392,8322.484605,8176.22315,8248.712021,8616.082346
MOs,2790.161286,2465.512117,1825.0,4695.077209,5005.184812,3211.113514,4072.008104,3789.541529,4315.524302,5717.844874,4917.379892,5895.814193,6352.066593,6672.846094,6699.6735,6339.163983,5327.40556,7122.192429,6362.242136,7111.522341,6470.075347,1368.621569,1773.062323,1649.810595,2220.50107,3216.461565,2222.189236,2834.828037,4256.906154,6065.939746,4647.445535,5531.952639,4926.142,4789.376264,5308.542644,7352.805587,7230.620651,7525.207638,4540.236778,3389.413666,3939.93972,3286.810764,2634.506595,6122.295321,6092.464608,6485.609069,6972.849131,7208.588627,7657.431031,5883.345137,4895.022983,5870.796368,5696.32557,7947.208629,7606.124177,6990.797522,6244.847876,6622.924203,5389.863171,7268.424864,4788.593217,5520.473259,6595.121303,6410.781934,6497.595709,6410.050702,6616.315062,3991.005512,4326.228149,5332.037603,5592.461444,2328.223572,2756.58303,3231.485726,2688.052269,5683.47385,5755.486513,6163.50144,5990.252499,4633.033563,5026.243627,4950.0,5526.583483,3168.398649,4740.780526,2569.776255,4011.623736,4174.1017,4544.914741,4783.108299,4646.907574,4712.881284,4701.130183,5448.222187,4415.526582,6062.023177,5646.126991,5864.565201,5675.275324,5095.892954,4466.682214,4491.798081,5464.030106,3373.518193,3594.787894,3895.349792,3098.991772,3827.77677,3805.752225,3668.276162,4226.848708,3067.368579,3273.472926,4121.058723,3970.673746,3917.429004,3872.176391,4339.714852,4422.456896,5590.002236,3294.78755,3678.824541,4255.731429,5900.105931,5221.70949,4059.017738,4736.032094,5934.802019,4530.728418,4931.848031,4978.704651,5975.941348,5621.49891,4829.596256,5707.506023,5603.904889,5187.605421,5253.748662,4699.069057,5638.760945,5493.689562,5896.821178,5535.961976,6933.748986,6867.90543,6683.328138,6229.265607,5696.709577,6316.001504,5673.953648,5449.025142,5735.688712,4782.38957,4292.508008,4906.246019,4514.836653,6801.929873,5716.314372,6037.228255,6768.169989,6081.683566,5966.206919,6185.113176,7013.068159,7996.639919,7179.397607,8056.286365,7402.955491,6943.117095,7642.847964,7447.398875,6992.227828,7706.571871,6694.494006,7414.386354,6980.508577,8675.28818,8587.818407,9147.848108,10219.00802,9468.929454,8834.095879,8760.779075,9725.257066,8986.830643,9900.568166,9247.094138,10284.97083,9008.121336,9948.900693,10061.46734,8927.695671,8496.065266,9685.136809,8342.099556,8197.598734,8186.15447,8690.368232,7946.461477,9456.512306,8247.916404,7386.727963,8058.341951,9146.652393,8573.25055,7952.279547,9113.554466,9547.545496,9183.681179,8226.063761,8286.811812,8292.504145,8598.837131
SSp-n,5259.574603,5260.28754,4695.077209,7125.0,7356.544705,5647.731846,6647.038814,6368.084484,6523.275634,7884.993659,7120.305471,7940.166875,8288.357799,8619.962297,8608.716513,8202.324366,6932.306615,8736.34649,7928.666344,8546.527072,7653.185611,4008.896357,3934.860226,4120.527879,4239.103679,5420.7933,4368.638232,4905.800139,6450.726703,7911.621199,6606.578161,6880.452383,6262.687123,5920.726307,7258.098925,8997.256526,8827.726208,9059.145931,6109.879295,5543.013621,5494.087731,4424.788131,4225.073964,7577.474843,6895.922708,7360.621577,7777.93353,8043.203653,8720.557608,7540.349793,6647.320889,7378.812574,7046.89648,9256.956843,8640.240159,8032.317536,7438.077709,7769.732943,6791.998969,8441.304698,6806.798073,7151.48586,7812.089989,7825.279548,7719.496421,7427.18823,7435.556469,5971.180788,5470.660381,6557.152583,6418.040978,4151.204644,4167.958133,4393.532178,4102.133591,6695.240847,6999.732138,7270.015475,6876.408947,6170.342373,6303.074647,5875.638263,6297.519353,4022.048607,5240.527168,3934.860226,5017.344915,5242.494635,5201.742497,6149.491849,5906.405421,5358.812835,5016.971198,6341.332668,4795.7012,7015.963939,6836.071606,7026.289917,6712.348695,6546.659453,5852.830512,5654.367781,6473.889866,4848.968963,4647.378293,4864.218848,4575.13661,5421.139179,4400.213063,4627.701913,4788.854247,3981.284341,4193.447269,4514.698218,4447.681981,4543.883251,5115.356781,5111.017511,5897.3511,6983.820588,4349.28155,4738.20905,4566.24846,5764.384182,5346.085016,4422.810193,5188.027082,5771.15673,4704.85122,5024.191477,5290.144138,5891.413243,5732.854873,5089.020043,5779.814011,5685.233065,5285.652751,5804.416422,5387.07945,5776.569051,6270.665834,6167.302895,6499.326888,7606.329601,7483.732358,7521.884737,6809.689787,5950.052521,6877.953911,6251.249875,6317.337256,6213.191611,5823.068349,5074.692109,6092.669776,5364.757683,7350.382643,6074.279793,6627.310918,7208.76203,6013.214614,5977.143967,6312.091571,7647.957244,8405.466971,7689.156326,8110.987918,7445.258558,6891.933691,7601.891212,7829.232082,6852.143825,8001.913834,6567.200697,7336.29675,7099.691895,9191.912206,9159.489615,9059.042444,10337.5529,9649.028449,9056.247843,8742.818481,9613.922196,8701.293007,9478.495397,9164.639927,10108.10319,8645.988954,9923.142143,9800.701506,8948.77785,8271.336047,9531.985627,8134.340785,8390.545274,8210.739918,8812.101055,8269.106663,9142.483251,7840.519753,7678.338036,8568.328308,9161.093002,8580.136945,8847.139368,9915.329041,10041.10303,10049.16041,9012.560679,8479.718451,8714.64285,9190.246188
SSp-bfd,6144.408027,5465.802777,5005.184812,7356.544705,7125.0,5338.187895,6898.459973,6273.406172,5944.850713,7901.344822,7551.034697,8066.326611,7744.594889,8176.22315,8310.12184,7449.748318,5892.898268,7891.886657,6944.917206,7562.820241,6484.645326,4123.939258,3881.526761,4877.050851,5020.271407,6226.606218,5306.187426,5808.076274,7100.088028,8107.134204,7247.844507,5698.13566,5114.990225,4781.801439,6497.162842,8504.41062,8548.281991,8520.636713,7421.505912,6579.18118,6540.881057,5490.161655,5131.459344,7954.008423,7297.730812,7740.356904,7771.301371,8200.076219,8583.923928,6848.266204,6087.589835,6921.975874,6438.604274,8847.775144,7990.502174,7327.175445,6457.021372,6968.545401,5901.00627,7918.885654,7202.126422,7587.28377,7939.891372,7757.294954,7730.378387,7555.213432,7356.842053,6185.517359,6268.871509,7015.117604,7309.96751,4309.364802,4817.546056,4822.214222,4196.203641,7103.212301,7124.649114,7471.027372,6993.613158,6316.149935,6382.05492,6441.7583,6902.671584,4707.042596,6093.746795,4077.070026,5437.658044,5162.061119,5166.599462,5996.717852,5678.358037,5107.959475,4812.288956,5920.779087,4393.532178,6530.170365,6213.593968,6478.95632,6179.704686,6038.78092,5293.864373,5243.448293,5893.375518,4831.731056,4729.56129,4978.328033,4489.014368,5082.629733,4044.595159,4395.736571,4795.179871,3919.821425,4411.419839,4718.911421,4442.268565,4449.859548,4753.551304,4674.46521,5888.707413,6614.142046,3844.232693,4248.970464,4959.964718,6059.290387,5449.88532,5134.746829,5854.805718,5852.403352,5332.096211,5467.460562,5711.063824,5750.706478,5578.194152,5716.7517,5765.468324,5959.341407,5136.024727,5987.330373,5993.01677,6233.026953,6193.696392,6447.38319,5297.935919,6349.655502,6076.85157,6427.528685,6438.070363,5631.274279,6251.449832,5564.395744,5296.520084,5201.622343,5197.475349,4258.594252,5304.243584,4721.625779,6376.127351,5499.204488,6226.003935,6450.436032,5628.998579,5322.299785,5329.223677,6991.557409,7783.235189,6812.213297,7682.610234,6483.15124,6614.614501,6939.965778,7015.429424,6399.5117,7300.342458,5930.746159,6466.21025,6520.065184,8375.970093,8531.522432,8082.272267,9418.233645,8837.52652,8343.335664,8151.916952,8893.99376,7937.450787,8826.734957,8358.453804,9381.397817,8040.444639,8980.29092,8927.59066,8151.380251,7396.494102,8904.668719,7195.701842,7505.206526,7261.67164,7869.164505,7353.060587,8168.269401,7212.61915,6480.258482,7290.447517,7886.14291,7493.205255,7734.904654,8827.265998,8997.603848,9403.124481,8338.2777,7325.383949,7672.393694,8270.05139
SSp-ll,4697.672296,3618.096875,3211.113514,5647.731846,5338.187895,3425.0,5131.459344,4391.895946,4117.87263,6279.082337,6004.165221,6534.141107,6163.653543,6612.204625,6790.710567,5882.867073,4395.523291,6498.17282,5539.291471,6274.701188,5329.047757,2310.032467,2128.820096,3451.992178,3726.090444,4823.510133,4027.250923,4508.672199,5624.111041,6697.947447,5875.212762,4370.140158,3744.495961,3538.184563,4830.502044,7132.715121,7227.637927,7217.123735,6407.954042,5274.348301,5470.489009,4621.011794,4036.551746,6792.873103,6514.503051,6917.550144,6964.732586,7390.999594,7615.567937,5397.742584,4555.010977,5598.939632,5186.038951,7706.166362,7005.176657,6316.49626,5293.510178,5867.282165,4557.822945,6842.194458,5739.664624,6336.501401,6887.760884,6559.630325,6660.09572,6620.564553,6529.261061,4694.012143,5337.778096,5989.052513,6565.439818,2844.951669,3722.314468,3793.497726,2918.261469,6194.251367,6043.591647,6487.439788,6130.150895,5051.546793,5260.703375,5593.578908,6152.946449,3888.84623,5511.63542,2834.717799,4506.939094,4106.549647,4385.986206,4774.149139,4500.208329,4315.741535,4242.493371,4979.583316,3747.499166,5565.294242,5061.188102,5363.650809,5140.221299,4711.024305,3958.92978,4082.049118,4856.825095,3521.18588,3690.613093,4007.103068,3139.765119,3635.759893,3212.572956,3343.744159,4064.710937,2889.744798,3462.116405,4110.200725,3750.083332,3648.372925,3511.142976,3752.499167,4621.011794,5365.514887,2616.772822,3070.321644,4425.141241,5843.853609,5043.49829,4596.194078,5278.790108,5655.417756,4904.653403,5088.098859,5200.060096,5501.931479,5184.77338,5248.392611,5404.16506,5597.823238,4736.757857,5318.951964,5277.961254,5844.869545,5365.980805,5974.372352,4237.481563,5583.121887,5356.771416,5528.44915,5736.778277,5138.397124,5552.814602,4826.036158,4311.467268,4525.345291,4095.347971,3262.476054,4086.333932,3726.509761,5695.228266,4924.49236,5510.444628,5849.358939,5374.127836,5009.865268,4943.556412,6262.687123,7236.582412,6172.671626,7384.485426,6199.042265,6367.397428,6709.880774,6475.965179,6220.781703,6828.478967,5742.549521,6269.070904,6156.754421,7767.158425,7882.496432,7930.006305,9122.568169,8482.408267,7945.242287,7921.055801,8749.071379,7915.096335,8906.774107,8191.573414,9290.452088,8063.924293,8788.771245,8906.66885,7903.519786,7330.160298,8784.574549,7119.076485,7122.324059,7006.871627,7550.53806,6870.453042,8190.009158,7261.800741,6016.695522,6684.964473,7680.291336,7267.736924,6841.463659,8028.77637,8426.223947,8563.038304,7533.674402,6957.504941,7128.201035,7607.603105
SSp-m,4662.684313,4665.900235,4072.008104,6647.038814,6898.459973,5131.459344,6125.0,5840.804739,6063.054098,7486.696535,6693.186834,7573.390918,7937.057074,8275.490922,8280.247581,7852.109589,6591.045061,8453.475617,7630.285054,8295.216995,7431.436604,3423.996203,3439.56756,3535.357125,3764.638097,4930.770731,3835.687683,4421.184796,6000.572889,7593.994338,6220.279335,6588.104811,5960.809509,5669.435598,6866.039615,8734.450469,8582.75888,8823.583456,5690.177941,5013.23249,5136.876483,4133.551742,3834.546909,7347.831313,6815.515388,7271.090015,7719.536903,7979.387508,8610.49505,7242.021472,6317.188853,7131.400634,6825.228934,9086.046995,8521.956935,7900.514224,7233.774948,7600.246707,6527.154817,8291.448908,6425.340458,6869.58878,7651.55213,7617.25016,7557.653406,7310.309501,7368.514097,5592.182043,5249.821426,6364.648458,6290.568337,3750.333319,3844.720406,4152.183161,3790.118732,6559.820882,6820.282252,7127.455717,6782.514283,5903.441793,6102.765766,5736.342476,6203.728717,3822.548234,5169.199648,3623.96537,4839.808881,5062.731476,5121.584228,5922.520578,5697.642056,5283.16903,5012.23503,6227.760432,4759.595571,6899.547087,6649.953007,6855.381098,6566.820007,6294.938443,5596.036544,5455.444528,6327.22293,4557.96007,4449.227461,4695.5431,4270.465431,5112.117956,4292.071178,4445.292454,4716.526794,3777.648078,4004.060439,4472.135955,4380.853227,4443.182981,4879.741284,4988.486744,5639.703006,6761.749034,4113.5447,4524.171195,4543.47059,5895.178114,5403.066259,4365.919147,5140.829213,5911.95822,4713.080203,5072.474741,5292.742673,6014.877389,5803.285707,5089.265664,5862.27345,5760.371082,5346.085016,5768.123612,5290.852956,5834.70222,6191.425522,6207.102786,6305.652226,7511.075156,7377.753723,7400.928996,6785.416347,5987.956663,6849.908759,6201.461521,6167.961576,6163.704243,5648.063828,4922.905646,5876.276457,5220.93143,7312.532051,6080.45023,6595.926773,7210.495822,6130.966482,6063.724103,6357.279292,7614.706166,8441.082573,7674.67426,8235.783205,7537.033568,7026.645715,7734.258206,7853.144275,7003.704377,8056.092415,6703.031031,7462.154515,7187.706519,9200.747252,9163.992034,9204.414702,10449.28227,9745.832443,9141.560315,8888.018621,9785.44838,8902.808546,9725.578389,9320.30713,10299.45387,8872.182651,10064.47962,10001.56238,9077.479,8446.744935,9716.673814,8299.69879,8465.001477,8319.780646,8905.651296,8307.714788,9343.045542,8066.675275,7690.700553,8529.434331,9255.707698,8687.850712,8731.086702,9838.889673,10048.44515,9988.90009,8959.840958,8533.939594,8724.820915,9173.50124
SSp-ul,4913.374604,4305.664873,3789.541529,6368.084484,6273.406172,4391.895946,5840.804739,5275.0,5172.040216,7083.254902,6596.732146,7269.929504,7156.203602,7570.873463,7687.855683,6928.65427,5472.77352,7516.357163,6587.156063,7288.518368,6325.790464,2968.269698,2877.933286,3682.135929,3961.454909,5131.824724,4161.505136,4716.328021,6074.845677,7368.980594,6313.378652,5416.064069,4793.811114,4541.269096,5900.688519,8047.592808,8054.851023,8122.961283,6360.227983,5412.774242,5591.567312,4639.032766,4171.105968,7306.418411,6873.363442,7308.000753,7496.457497,7869.720452,8265.893781,6386.998513,5523.246328,6470.413433,6075.10288,8515.684059,7823.162724,7153.932485,6254.648271,6763.273985,5555.909017,7655.308616,6321.441687,6846.577612,7463.452619,7259.003031,7283.714712,7147.20225,7088.591186,5343.512422,5546.845951,6404.344229,6701.25921,3430.834447,3981.362832,4142.613909,3468.879502,6591.898437,6617.165179,7002.321044,6624.056537,5663.148418,5851.228503,5886.743582,6407.27126,4042.740407,5577.297733,3340.845701,4857.146796,4700.598366,4856.439025,5483.327001,5213.923666,4869.933264,4678.474645,5676.541641,4268.562404,6305.305306,5913.649465,6181.676553,5919.037084,5589.107711,4843.681451,4846.003508,5644.96457,4169.607296,4193.000119,4482.744695,3816.57569,4475.83791,3775.413885,3965.003153,4484.138713,3402.021458,3854.948119,4400.639158,4141.708585,4118.403817,4273.318383,4411.703186,5286.598623,6175.809664,3390.704204,3836.991009,4623.310502,5996.144595,5324.002254,4670.853776,5415.140811,5872.020521,4984.601288,5229.304447,5408.442475,5814.905416,5557.427462,5357.588077,5719.429604,5813.02417,5095.586325,5689.079451,5493.860209,6008.483586,5901.535817,6244.097213,5192.843633,6449.660844,6223.895484,6414.875291,6331.37031,5610.59266,6225.60238,5520.076992,5198.136685,5280.210697,4909.684308,4068.860406,5000.624961,4490.267253,6463.261561,5512.825954,6116.524749,6525.095785,5768.502839,5507.324668,5569.167352,6969.083512,7868.21136,6903.622238,7851.194177,6797.334036,6746.156313,7207.76491,7150.43705,6622.782648,7446.223875,6195.764682,6804.45626,6679.539655,8486.349333,8565.957331,8495.403169,9747.082897,9098.935377,8547.660499,8414.793521,9250.844556,8365.442307,9290.115715,8721.381771,9775.063938,8450.295853,9371.065841,9396.04305,8463.672371,7823.402393,9249.358086,7631.063163,7756.730948,7600.205589,8176.872874,7553.393277,8679.033644,7632.209706,6749.166615,7501.208236,8334.566575,7885.548491,7742.012012,8895.258568,9193.238004,9335.349485,8291.448908,7650.163397,7872.459908,8375.485061
SSp-tr,5891.784534,4641.457207,4315.524302,6523.275634,5944.850713,4117.87263,6063.054098,5172.040216,4525.0,6963.880025,6927.752161,7249.568953,6452.27673,6957.460025,7217.513422,6016.487763,4293.818231,6498.74988,5445.066574,6138.861865,5010.863199,3395.769427,3096.066052,4639.100128,4850.0,5948.739362,5207.926651,5655.694033,6660.471079,7408.019303,6857.97893,4089.086084,3509.807687,3279.100486,5011.237372,7371.100664,7592.18348,7400.717871,7584.729725,6463.938428,6560.678319,5664.251936,5122.133345,7520.181181,7130.129732,7525.207638,7340.044278,7855.929289,7950.196538,5549.943693,4859.719642,5879.360084,5344.974275,7918.727802,7016.676564,6307.188359,5133.468613,5821.40447,4536.105158,6972.132027,6618.912297,7142.391056,7427.566896,7035.090618,7139.896708,7127.104952,6877.136032,5516.565961,6251.849726,6735.818436,7425.715454,3753.664876,4696.474742,4619.320838,3708.773382,6865.402392,6613.338794,7057.31004,6619.101147,5732.636828,5841.981684,6347.29273,6876.318055,4762.549212,6316.100458,3651.112844,5252.975347,4617.223191,4820.334532,5260.346947,4932.861745,4619.185534,4512.482687,5185.074734,3937.162684,5714.345982,5182.361913,5520.303434,5290.852956,4983.347269,4225.295848,4400.213063,4980.587315,4198.809355,4324.710973,4617.15551,3815.347297,4125.681762,3526.595384,3801.726581,4525.552452,3496.158606,4162.631379,4643.813088,4210.923295,4095.958374,3924.522264,3996.873778,5224.342064,5690.23286,2987.683049,3398.253228,5020.271407,6229.01477,5411.388454,5345.208134,5995.884005,5923.997806,5561.08128,5628.943062,5770.23613,5663.148418,5391.486344,5908.309826,5676.81689,6026.348397,4966.449939,5806.784825,6014.40978,6372.107187,5748.586783,6431.611384,3867.654328,5089.572674,4723.478591,5202.042868,5879.360084,5273.340971,5525.735245,4787.026739,4084.2686,4224.778101,4232.685318,3252.691193,4126.514873,3836.420858,5404.685467,4918.015352,5644.134123,5694.844159,5391.776145,4875.576889,4588.027899,6207.354509,7135.956488,5936.802591,7336.594919,5810.066695,6420.377715,6505.286312,6253.948753,6149.136118,6660.189562,5566.4733,5922.942681,6054.388904,7545.611307,7798.156834,7475.376245,8733.41285,8186.803405,7732.924738,7742.536729,8453.697416,7569.346075,8592.547643,7852.26878,8970.437559,7805.166558,8359.05198,8477.543866,7594.94075,6930.548319,8541.150391,6681.691403,6799.356587,6608.04434,7165.760602,6555.198319,7690.741187,6995.623632,5495.623259,6133.004973,7030.51385,6761.194421,6491.292244,7665.262553,8030.800085,8514.729884,7467.680363,6439.574908,6735.540067,7329.7766
SSs,6498.894137,6198.840617,5717.844874,7884.993659,7901.344822,6279.082337,7486.696535,7083.254902,6963.880025,8425.0,7887.093888,8474.88938,8535.038078,8887.702178,8904.774001,8377.387719,7029.358079,8759.780248,7947.247951,8474.114998,7490.91116,4907.774445,4650.873574,5276.007013,5255.94901,6464.131806,5539.4043,5990.565499,7356.077419,8398.288516,7410.929429,6856.611773,6281.222015,5863.872441,7515.650338,9107.448874,8992.288363,9106.350806,7316.975126,6760.547315,6466.838486,5331.392876,5189.050973,8009.40853,7114.334122,7576.361264,7763.617069,8106.825828,8723.853793,7657.798313,6877.635858,7497.457903,7073.984026,9244.119753,8454.954169,7857.997518,7304.792947,7629.629742,6803.399885,8359.014595,7490.160212,7696.346536,8020.832251,8026.518548,7880.870828,7571.038568,7408.947294,6582.172894,6119.691577,6981.851474,6959.076807,4804.425044,4919.540121,4923.476922,4604.617248,7005.979589,7248.01697,7489.367463,6986.773218,6577.661058,6575.807935,6281.371267,6644.452573,4621.890847,5701.370449,4460.170961,5431.965574,5440.473325,5260.762777,6372.49951,6076.028719,5318.070609,4888.251221,6272.360002,4649.865589,6913.483203,6803.078347,6991.333921,6646.662696,6668.489334,5980.854872,5745.59614,6397.753512,5254.759747,4957.380861,5135.477096,4983.159139,5720.686148,4407.59288,4790.681058,4865.760475,4267.976687,4562.345888,4639.773701,4523.480408,4633.775459,5298.761648,5084.535377,6231.271941,7099.911971,4512.62119,4855.73115,4745.326648,5614.100551,5238.141369,4814.431431,5518.435014,5502.613016,4945.010111,5099.754896,5419.69787,5549.436908,5478.423587,5329.692768,5565.406544,5617.995639,5062.175916,5872.286607,5757.006601,5822.907349,6284.604204,6149.644299,6307.436088,7198.871439,7058.948222,7208.415221,6601.656989,5676.761841,6576.75832,5978.973574,6104.199374,5832.559472,5794.447774,4970.160963,6071.706926,5292.270307,6934.560188,5751.684536,6422.90822,6802.113642,5575.056054,5487.827439,5771.69819,7330.84238,7973.824365,7259.863979,7609.081745,6806.38487,6453.003177,7000.089285,7354.038006,6311.645982,7513.695828,5985.868776,6672.04991,6613.858556,8723.889614,8769.620858,8301.129441,9646.242792,9028.496553,8498.124793,8133.687663,8901.825655,7928.902824,8666.422272,8450.332834,9356.348112,7894.024639,9176.396352,8979.351313,8285.868995,7506.663706,8834.66185,7365.62964,7794.789927,7535.001659,8157.856643,7725.809019,8290.054282,7087.224421,7097.66687,8038.267848,8391.252886,7854.696048,8496.874425,9490.850858,9486.503571,9752.595808,8703.232158,7826.437568,8170.985253,8728.580927
